Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Avicebron,203,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7e/AvicebronIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/96/AvicebronFinalIcon.png/revision/latest?cb=20180601120518,Avicebron,3,Caster,Man,B,A,A,A,Q,9981,6376,Permanent,pieceCaster,4,,,,,pieceCaster,8,Crystal,5,,,,,monumentCaster,4,Baby,7,Lamp,2,monumentCaster,8,Lamp,4,Scarab,4,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Baby,4,,,,,goldCaster,4,Baby,7,,,goldCaster,8,Crystal,4,,,,,Crystal,7,Permafrost,4,Permafrost,12,Gunpowder,48,,,
Bartholomew Roberts,257,https://vignette.wikia.nocookie.net/fategrandorder/images/2/22/S257Icon.png/revision/latest?cb=20190804164245,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b3/BartholomewRobertsFinalIcon.png/revision/latest?cb=20190804164710,Roberts,1,Rider,Man,B,A,A,Q,Q,6720,5461,Permanent,pieceRider,2,,,,,pieceRider,4,Chain,8,,,,,monumentRider,2,Grease,2,Lantern,2,monumentRider,4,Lantern,4,Jewel,4,,,blueRider,2,,,,,blueRider,4,,,,,,,redRider,2,,,,,redRider,4,Grease,1,,,,,goldRider,2,Grease,2,,,goldRider,4,Chain,5,,,,,Chain,10,Seashell,2,Seashell,6,Gunpowder,24,,,
BB,166,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e8/BBicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c3/BBFinalIcon.png/revision/latest?cb=20180219123949,BB,4,Moon Cancer,Man,B,A,A,Q,Q,13643,8197,Welfare,Ribbon,1,,,,,Ribbon,1,,,,,,,Ribbon,1,,,,,Ribbon,1,,,,,,,blueCaster,4,blueRider,4,,,blueCaster,10,blueRider,10,,,,,redCaster,4,redRider,4,,,redCaster,10,redRider,10,,,,,goldCaster,4,goldRider,4,,,goldCaster,10,goldRider,10,,,,,Lanugo,4,Lamp,4,Root,7,Scarab,7,Main Interlude: SE.RA.PH,,
BB [Summer],220,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c7/S220Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a3/BBSummerFinalIcon.png/revision/latest?cb=20180819141218,Summer BB,5,Moon Cancer,Earth,B,B,A,A,Q,14812,11182,Limited,pieceSaber,5,pieceBerserker,5,,,pieceSaber,12,pieceBerserker,12,,,,,monumentSaber,5,monumentBerserker,5,,,monumentSaber,12,monumentBerserker,12,,,,,blueSaber,5,blueBerserker,5,,,blueSaber,12,blueBerserker,12,,,,,redSaber,5,redBerserker,5,,,redSaber,12,redBerserker,12,,,,,goldSaber,5,goldBerserker,5,,,goldSaber,12,goldBerserker,12,,,,,Grease,5,Claw,5,Wine,9,Heart,9,Servant Summer Festival Re-Run,New Year 2020,
Bedivere,126,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a8/Bedivereicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/36/BedivereFinalIcon.png/revision/latest?cb=20180212152614,Bedivere,3,Saber,Star,B,B,A,Q,Q,9595,7627,Story-locked,pieceSaber,4,,,,,pieceSaber,8,Proof,15,,,,,monumentSaber,4,Dust,13,Gear,4,monumentSaber,8,Gear,7,Medal,16,,,blueSaber,4,,,,,blueSaber,8,,,,,,,redSaber,4,,,,,redSaber,8,Dust,7,,,,,goldSaber,4,Dust,13,,,goldSaber,8,Proof,10,,,,,Proof,20,Chain,12,Chain,36,Tearstone,10,Chaldea Boys Collection 2020,,
Beni Enma,234,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5f/S234Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/08/BeniEnmaFinalIcon.png/revision/latest?cb=20190101045733,Beni Enma,5,Saber,Earth,B,B,A,A,Q,13960,11607,Limited,pieceSaber,5,,,,,pieceSaber,12,Seed,9,,,,,monumentSaber,5,Lantern,10,Feather,4,monumentSaber,12,Feather,8,Scarab,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Lantern,5,,,,,goldSaber,5,Lantern,10,,,goldSaber,12,Seed,6,,,,,Seed,12,Bell,6,Bell,18,Magatama,24,Inn of the Tongue-cut Sparrow Re-Run,,
Beowulf,89,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b3/Beowulficon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/ba/BeowulfFinalIcon.png/revision/latest?cb=20180218073700,Beowulf,4,Berserker,Earth,B,B,B,A,Q,10327,10247,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Proof,18,,,,,monumentBerserker,4,Crystal,8,Scale,2,monumentBerserker,10,Scale,4,Bone,30,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Crystal,4,,,,,goldBerserker,4,Crystal,8,,,goldBerserker,10,Proof,12,,,,,Proof,24,Seed,6,Seed,18,Fang,48,Christmas 2020,,
Billy the Kid,105,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f8/Billyicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/20/BillyFinalIcon.png/revision/latest?cb=20180213160105,Billy,3,Archer,Man,B,A,A,Q,Q,9506,6890,Permanent,pieceArcher,4,,,,,pieceArcher,8,Horseshoe,5,,,,,monumentArcher,4,Bone,20,Feather,3,monumentArcher,8,Feather,6,Claw,5,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Bone,10,,,,,goldArcher,4,Bone,20,,,goldArcher,8,Horseshoe,4,,,,,Horseshoe,7,Dust,8,Dust,24,Tearstone,10,,,
Boudica,26,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1a/Boudicaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/ba/BoudicaFinalIcon.png/revision/latest?cb=20180215130226,Boudica,3,Rider,Man,B,A,A,Q,Q,10130,6289,Permanent,pieceRider,4,,,,,pieceRider,8,Feather,4,,,,,monumentRider,4,Bone,20,Horseshoe,4,monumentRider,8,Horseshoe,7,Dust,16,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Bone,10,,,,,goldRider,4,Bone,20,,,goldRider,8,Feather,3,,,,,Feather,6,Jewel,4,Jewel,10,Dust,32,,,
Bradamante,232,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c5/S232Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/30/BradamanteFinalIcon.png/revision/latest?cb=20181228111942,Bradamante,5,Lancer,Earth,B,A,A,Q,Q,15682,10833,Permanent,pieceLancer,5,,,,,pieceLancer,12,Proof,22,,,,,monumentLancer,5,Medal,20,Horn,3,monumentLancer,12,Horn,6,Feather,10,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Medal,10,,,,,goldLancer,5,Medal,20,,,goldLancer,12,Proof,15,,,,,Proof,29,Seashell,6,Seashell,18,Steel,24,Interlude Campaign 12,Valentine's 2020,Christmas 2019 Re-Run
Brynhildr,88,https://vignette.wikia.nocookie.net/fategrandorder/images/3/34/Brynicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f6/BrynhildrFinalIcon.png/revision/latest?cb=20180211123724,Brynhildr,5,Lancer,Sky,B,B,A,Q,Q,14825,11432,Limited,pieceLancer,5,,,,,pieceLancer,12,Heart,3,,,,,monumentLancer,5,Seed,12,Proof,15,monumentLancer,12,Proof,29,Lantern,12,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Seed,6,,,,,goldLancer,5,Seed,12,,,goldLancer,12,Heart,2,,,,,Heart,4,Feather,5,Feather,15,Claw,15,20M Downloads Campaign,,
Brynhildr [Berserker],287,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5f/S287Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/12/BrynhildrBerserkerFinalIcon.png,Summer Bryn,4,Berserker,Sky,B,B,B,A,Q,10023,10197,Limited,pieceBerserker,4,,,,,pieceBerserker,10,Seashell,6,,,,,monumentBerserker,4,Lantern,8,Permafrost,4,monumentBerserker,10,Permafrost,8,Steel,10,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Lantern,4,,,,,goldBerserker,4,Lantern,8,,,goldBerserker,10,Seashell,4,,,,,Seashell,8,Steel,5,Steel,15,Crown,20,Servant Summer Camp,Servant Summer Camp Re-Run,
Caenis,279,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2b/S279Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/ad/Caenis_Stage_4_Icon.png,Caenis,4,Lancer,Earth,B,B,A,Q,Q,11532,9896,Story-locked,pieceLancer,4,,,,,pieceLancer,10,Crystal,8,,,,,monumentLancer,4,Stake,24,Tearstone,3,monumentLancer,10,Tearstone,5,Fruit,6,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Stake,12,,,,,goldLancer,4,Stake,24,,,goldLancer,10,Crystal,4,,,,,Crystal,8,Crown,5,Crown,15,Feather,16,Olympos Chapter Release,,
Calamity Jane,269,https://vignette.wikia.nocookie.net/fategrandorder/images/5/52/S269Icon.png/revision/latest/scale-to-width-down/75?cb=20191030162323,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d4/CalamityJaneFinalIcon.png/revision/latest?cb=20191030164638,Jane,4,Archer,Man,B,A,A,Q,Q,12495,8996,Limited,pieceArcher,4,,,,,pieceArcher,10,Dust,12,,,,,monumentArcher,4,Gunpowder,24,Feather,4,monumentArcher,10,Feather,7,Claw,6,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Gunpowder,12,,,,,goldArcher,4,Gunpowder,24,,,goldArcher,10,Dust,8,,,,,Dust,16,Permafrost,5,Permafrost,15,Arrowhead,20,Saber Wars 2,,
Caligula,54,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9c/Caligulaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c8/CaligulaFinalIcon.png/revision/latest?cb=20180218073549,Caligula,2,Berserker,Man,B,B,B,A,Q,7303,6831,Permanent,pieceBerserker,3,,,,,pieceBerserker,6,Crystal,4,,,,,monumentBerserker,3,Jewel,4,Lantern,3,monumentBerserker,6,Lantern,5,Page,6,,,blueBerserker,3,,,,,blueBerserker,6,,,,,,,redBerserker,3,,,,,redBerserker,6,Jewel,2,,,,,goldBerserker,3,Jewel,4,,,goldBerserker,6,Crystal,3,,,,,Crystal,5,Horseshoe,3,Horseshoe,9,Page,12,,,
Caren C Hortensia,305,https://static.wikia.nocookie.net/fategrandorder/images/7/72/S305Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/d/d9/S305A4Icon.png,Caren,5,Ruler,Sky,B,A,A,Q,Q,13837,11351,Limited,pieceArcher,5,pieceCaster,5,pieceBerserker,5,pieceSaber,5,pieceLancer,5,pieceRider,5,pieceAssassin,5,monumentArcher,5,monumentCaster,5,monumentBerserker,5,monumentSaber,5,monumentLancer,5,monumentRider,5,monumentAssassin,5,blueArcher,5,blueCaster,5,blueBerserker,5,blueSaber,5,blueLancer,5,blueRider,5,blueAssassin,5,redArcher,5,redCaster,5,redBerserker,5,redSaber,5,redLancer,5,redRider,5,redAssassin,5,goldArcher,5,goldCaster,5,goldBerserker,5,goldSaber,5,goldLancer,5,goldRider,5,goldAssassin,5,Arrowhead,12,,,Thread,15,,,Valentine's 2021,,
Carmilla,46,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c3/Carmillaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/07/CarmillaFinalIcon.png/revision/latest?cb=20180217094110,Carmilla,4,Assassin,Earth,B,A,Q,Q,Q,10473,9408,Permanent,pieceAssassin,4,,,,,pieceAssassin,10,Jewel,5,,,,,monumentAssassin,4,Baby,8,Heart,2,monumentAssassin,10,Heart,4,Claw,6,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Baby,4,,,,,goldAssassin,4,Baby,8,,,goldAssassin,10,Jewel,4,,,,,Jewel,7,Bone,15,Bone,45,Claw,12,,,
Carmilla [Rider],263,https://vignette.wikia.nocookie.net/fategrandorder/images/0/09/S263Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/89/CarmillaRiderFinalIcon.png,Summer Carmilla,4,Rider,Earth,B,B,A,A,Q,10476,9651,Limited,pieceRider,4,,,,,pieceRider,10,Stinger,15,,,,,monumentRider,4,Tearstone,5,Jewel,4,monumentRider,10,Jewel,7,Seashell,10,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Tearstone,3,,,,,goldRider,4,Tearstone,5,,,goldRider,10,Stinger,10,,,,,Stinger,20,Stake,15,Stake,45,Fluid,60,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Chacha,162,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c5/ChachaIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0e/ChachaFinalIcon.png/revision/latest?cb=20180218073732,Chacha,4,Berserker,Man,B,B,B,A,Q,11025,8945,Welfare,Ranjatai,1,,,,,Ranjatai,1,,,,,,,Ranjatai,1,,,,,Ranjatai,1,,,,,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Crystal,4,,,,,goldBerserker,4,Crystal,8,,,goldBerserker,10,Feather,4,,,,,Feather,7,Lamp,3,Lamp,9,Scarab,8,,,
Charles Babbage,80,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a3/Babbageicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a1/CharlesBabbageFinalIcon.png/revision/latest?cb=20180216122859,Babbage,3,Caster,Man,B,B,A,A,Q,10887,5996,Permanent,pieceCaster,4,,,,,pieceCaster,8,Gear,5,,,,,monumentCaster,4,Crystal,7,Page,4,monumentCaster,8,Page,7,Dust,16,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Crystal,4,,,,,goldCaster,4,Crystal,7,,,goldCaster,8,Gear,4,,,,,Gear,7,Lantern,4,Lantern,12,Dust,32,,,
Charles-Henri Sanson,43,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cf/Sansonicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a2/SansonFinalIcon.png/revision/latest?cb=20180217093959,Sanson,2,Assassin,Man,B,A,Q,Q,Q,8306,5456,Permanent,pieceAssassin,3,,,,,pieceAssassin,6,Bone,11,,,,,monumentAssassin,3,Dust,10,Heart,1,monumentAssassin,6,Heart,2,Baby,6,,,blueAssassin,3,,,,,blueAssassin,6,,,,,,,redAssassin,3,,,,,redAssassin,6,Dust,5,,,,,goldAssassin,3,Dust,10,,,goldAssassin,6,Bone,8,,,,,Bone,15,Page,3,Page,9,Baby,12,,,
Charlotte Corday,259,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a9/S259Icon.png/revision/latest?cb=20190804164306,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/92/CharlotteCordayFinalIcon.png/revision/latest?cb=20190804164802,Corday,1,Assassin,Man,B,A,A,Q,Q,6220,5488,Permanent,pieceAssassin,2,,,,,pieceAssassin,4,Dust,5,,,,,monumentAssassin,2,Tearstone,2,Stake,5,monumentAssassin,4,Stake,10,Mirror,2,,,blueAssassin,2,,,,,blueAssassin,4,,,,,,,redAssassin,2,,,,,redAssassin,4,Tearstone,1,,,,,goldAssassin,2,Tearstone,2,,,goldAssassin,4,Dust,4,,,,,Dust,7,Gallstone,1,Gallstone,3,Stake,24,,,
Chen Gong,258,https://vignette.wikia.nocookie.net/fategrandorder/images/7/75/S258Icon.png/revision/latest?cb=20190804164254,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3c/ChenGongFinalIcon.png/revision/latest?cb=20190804164734,Gong,2,Caster,Man,B,A,A,A,Q,7755,6119,Permanent,pieceCaster,3,,,,,pieceCaster,6,Page,4,,,,,monumentCaster,3,Gear,5,Crystal,3,monumentCaster,6,Crystal,5,Scarab,3,,,blueCaster,3,,,,,blueCaster,6,,,,,,,redCaster,3,,,,,redCaster,6,Gear,3,,,,,goldCaster,3,Gear,5,,,goldCaster,6,Page,3,,,,,Page,5,Magatama,3,Magatama,9,Bell,12,,,
Chevalier D'Eon,10,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1f/Deon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/67/ChevalierdeonFinalIcon.png/revision/latest?cb=20180212151747,D'Eon,4,Saber,Man,B,B,A,A,Q,13256,8765,Permanent,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Seed,10,Feather,4,monumentSaber,10,Feather,7,Jewel,8,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Seed,5,,,,,goldSaber,4,Seed,10,,,goldSaber,10,Proof,12,,,,,Proof,24,Page,5,Page,15,Jewel,16,,,
Chiron,207,https://vignette.wikia.nocookie.net/fategrandorder/images/1/17/ChironIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/ad/ChironFinalIcon.png/revision/latest?cb=20180529143714,Chiron,4,Archer,Sky,B,A,A,Q,Q,12250,9294,Permanent,pieceArcher,4,,,,,pieceArcher,10,Horseshoe,6,,,,,monumentArcher,4,Page,8,Root,2,monumentArcher,10,Root,4,Scarab,4,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Page,4,,,,,goldArcher,4,Page,8,,,goldArcher,10,Horseshoe,4,,,,,Horseshoe,8,Jewel,4,Jewel,12,Stinger,48,,,
Chloe von Einzbern,137,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ed/Kuroicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/dc/ChloeVonEinzbernFinalIcon.png/revision/latest?cb=20180214113810,Kuro,4,Archer,Sky,B,A,A,Q,Q,10914,9845,Welfare,Bracelet,1,,,,,Bracelet,1,,,,,,,Bracelet,1,,,,,Bracelet,1,,,,,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Gear,4,,,,,goldArcher,4,Gear,8,,,goldArcher,10,Baby,4,,,,,Baby,8,Tearstone,3,Tearstone,9,Heart,8,,,
Christopher Columbus,172,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4d/ColumbusIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6d/ChristopherColumbusFinalIcon.png/revision/latest?cb=20180215130239,Columbus,3,Rider,Man,B,B,A,A,Q,9600,6552,Story-locked,pieceRider,4,,,,,pieceRider,8,Chain,15,,,,,monumentRider,4,Wine,3,Stinger,8,monumentRider,8,Stinger,16,Lantern,8,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Wine,2,,,,,goldRider,4,Wine,3,,,goldRider,8,Chain,10,,,,,Chain,20,Fluid,12,Fluid,36,Gallstone,7,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
Circe,192,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/Icon_Servant_192.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/20/CirceFinalIcon.png/revision/latest?cb=20180216123047,Circe,4,Caster,Sky,B,A,A,A,Q,12250,8671,Permanent,pieceCaster,4,,,,,pieceCaster,10,Page,6,,,,,monumentCaster,4,Lanugo,5,Feather,4,monumentCaster,10,Feather,7,Scarab,4,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Lanugo,3,,,,,goldCaster,4,Lanugo,5,,,goldCaster,10,Page,4,,,,,Page,8,Stake,15,Stake,45,Heart,8,,,
Cleopatra,139,https://vignette.wikia.nocookie.net/fategrandorder/images/1/13/Cleopatra_icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c9/CleopatraFinalIcon.png/revision/latest?cb=20180217094055,Cleopatra,5,Assassin,Man,B,B,A,Q,Q,13402,11088,Limited,pieceAssassin,5,,,,,pieceAssassin,12,Feather,6,,,,,monumentAssassin,5,Lamp,6,Tearstone,3,monumentAssassin,12,Tearstone,6,Jewel,10,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Lamp,3,,,,,goldAssassin,5,Lamp,6,,,goldAssassin,12,Feather,4,,,,,Feather,8,Seashell,6,Seashell,18,Scarab,10,Amazoness.com CEO Crisis 2020,,
Cu Chulainn,17,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f0/Cuicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/92/CuChulainnFinalIcon.png/revision/latest?cb=20180211121353,Cu Chulainn,3,Lancer,Sky,B,B,A,Q,Q,9593,7239,Permanent,pieceLancer,4,,,,,pieceLancer,8,Claw,3,,,,,monumentLancer,4,Seed,8,Crystal,4,monumentLancer,8,Crystal,7,Feather,7,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Seed,4,,,,,goldLancer,4,Seed,8,,,goldLancer,8,Claw,2,,,,,Claw,4,Proof,12,Proof,36,Feather,13,,,
Cu Chulainn [Alter],98,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8f/CuAltericon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/54/CuChulainnAlterFinalIcon.png/revision/latest?cb=20180211124343,Cu Alter,5,Berserker,Earth,B,B,B,A,Q,12210,12805,Story-locked,pieceBerserker,5,,,,,pieceBerserker,12,Bone,22,,,,,monumentBerserker,5,Claw,6,Heart,2,monumentBerserker,12,Heart,4,Tearstone,8,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Claw,3,,,,,goldBerserker,5,Claw,6,,,goldBerserker,12,Bone,15,,,,,Bone,29,Jewel,5,Jewel,15,Dust,48,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
Cu Chulainn [Caster],38,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2c/Cucastericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/43/CuChulainnCasterFinalIcon.png/revision/latest?cb=20180216122908,Cu,3,Caster,Sky,B,A,A,A,Q,9604,6580,Story-locked,pieceCaster,4,,,,,pieceCaster,8,Seed,6,,,,,monumentCaster,4,Page,7,Claw,2,monumentCaster,8,Claw,4,Gear,8,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Page,4,,,,,goldCaster,4,Page,7,,,goldCaster,8,Seed,4,,,,,Seed,8,Feather,4,Feather,10,Gear,16,Chaldea Boys Collection 2020,,
Cu Chulainn [Prototype],20,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fc/Cuprotoicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/CuChulainnPrototypeFinal.png/revision/latest?cb=20180214130234,Proto Cu,3,Lancer,Sky,B,B,A,Q,Q,10089,7082,Permanent,pieceLancer,4,,,,,pieceLancer,8,Dust,10,,,,,monumentLancer,4,Seed,8,Claw,2,monumentLancer,8,Claw,4,Crystal,8,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Seed,4,,,,,goldLancer,4,Seed,8,,,goldLancer,8,Dust,7,,,,,Dust,13,Proof,12,Proof,36,Crystal,16,,,
Darius III,55,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ef/Dariusicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/24/DariusIIIFinalIcon.png/revision/latest?cb=20180218073617,Darius,3,Berserker,Man,B,B,B,A,Q,8763,7608,Permanent,pieceBerserker,4,,,,,pieceBerserker,8,Crystal,5,,,,,monumentBerserker,4,Feather,6,Bone,10,monumentBerserker,8,Bone,20,Horseshoe,8,,,blueBerserker,4,,,,,blueBerserker,8,,,,,,,redBerserker,4,,,,,redBerserker,8,Feather,3,,,,,goldBerserker,4,Feather,6,,,goldBerserker,8,Crystal,4,,,,,Crystal,7,Dust,8,Dust,24,Horseshoe,16,,,
David,63,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fc/Davidicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d8/DavidFinalIcon.png/revision/latest?cb=20180213160033,David,3,Archer,Sky,B,A,A,A,Q,8643,7736,Permanent,pieceArcher,4,,,,,pieceArcher,8,Dust,10,,,,,monumentArcher,4,Baby,7,Heart,2,monumentArcher,8,Heart,3,Crystal,8,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Baby,4,,,,,goldArcher,4,Baby,7,,,goldArcher,8,Dust,7,,,,,Dust,13,Proof,12,Proof,36,Crystal,16,,,
Demon King Nobunaga,250,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c3/S250Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/df/DemonKingNobunagaFinalIcon.png,Avenger Nobu,5,Avenger,Earth,B,B,B,A,Q,11761,12641,Limited,Bone,10,Dust,10,,,Lantern,10,Gear,10,,,,,Grease,10,Tearstone,10,,,Gallstone,10,Wine,10,,,,,Horseshoe,10,,,,,Chain,10,,,,,,,Lamp,12,,,,,Fluid,12,,,,,,,Magatama,12,,,,,Gunpowder,15,,,,,,,Bell,15,,,Core,15,,,GudaGuda Final Honnouji,GudaGuda Final Honnouji Re-Run,
Diarmuid Ua Duibhne,71,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7c/Diarmuidicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/85/DiarmuidUaDuibhneFinalIcon.png/revision/latest?cb=20180214130213,Diarmuid,3,Lancer,Earth,B,A,A,Q,Q,10098,6877,Permanent,pieceLancer,4,,,,,pieceLancer,8,Seed,6,,,,,monumentLancer,4,Feather,6,Jewel,3,monumentLancer,8,Jewel,6,Dust,16,,,blueLancer,4,,,,,blueLancer,8,,,,,,,redLancer,4,,,,,redLancer,8,Feather,3,,,,,goldLancer,4,Feather,6,,,goldLancer,8,Seed,4,,,,,Seed,8,Proof,12,Proof,36,Dust,32,,,
Diarmuid Ua Duibhne [Saber],223,https://vignette.wikia.nocookie.net/fategrandorder/images/3/36/S223Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2c/DiarmuidSaberFinalIcon.png/revision/latest?cb=20180905121527,Saber Diarmuid,4,Saber,Earth,B,B,A,Q,Q,11362,10048,Permanent,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Medal,16,Gallstone,2,monumentSaber,10,Gallstone,4,Tearstone,6,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Medal,8,,,,,goldSaber,4,Medal,16,,,goldSaber,10,Proof,12,,,,,Proof,24,Stinger,12,Stinger,36,Stake,60,Inn of the Tongue-cut Sparrow Re-Run,,
